shop_code,latitude,longitude,outlet name,brand,kecamatan,potensi
250429104405,-6.111696678,106.91497765481472,"Warung Mama Opic","halocoko","",""
250430122437,-6.128974658,106.9044603779912,"Warung Dilla","","",""
250430134841,-6.112773797,106.89602985978127,"Toko Rizky","halocoko","",""
250505151120,-6.111844028,106.89095679670572,"Toko Iqbal","","",""
250429095223,-6.128126591,106.90051417797804,"Toko Pak Amir","","",""
250502121134,-6.129184008,106.91769976168871,"Warung Sembako","halocoko","",""
250507164722,-6.121554353,106.91119942814112,"Toko Farid","","",""
250513110901,-6.121490069,106.91872970105499,"Toko Khalif","halocoko","",""
250513112411,-6.116419851,106.90610826015472,"Serba Jajanan Bandung","halocoko","",""
250513123421,-6.121703709,106.91870549558905,"Toko Sumber Rezeki","halocoko","",""
250514085339,-6.112119725,106.90824329853058,"Warung Sinar Jaya Lagoa","halocoko","",""
250515095738,-6.138401321,106.90166484564543,"Toko Mama Arya","","",""
250515111559,-6.118923102,106.90496161580086,"Warung Rina","halocoko","",""
250516161717,-6.124428613,106.91965073347092,"Warung Maduwangi","","",""
250101000000,-6.112587628,106.91732818555802,"halocoko Jakarta Utara","","",""
250517113247,-6.134077371,106.90689750015736,"Mama Tria","","",""
250519111350,-6.120964298,106.89702697098255,"Kedai Mama Dada","halocoko","",""
250520145915,-6.119685509,106.89694046974182,"Warung Ibu Fatimah","","",""
250508140003,-6.136762218,106.90305054187775,"Toko Ibu Ratnawati","","",""
250521131544,-6.111993045,106.89571101218462,"Warung Azizah","","",""
250521184612,-6.110168506,106.89367890357971,"Warung Syaiful","halocoko","",""
250522124437,-6.125763061,106.91394064575434,"Toko Atifah Collection","","",""
250522121909,-6.109712453,106.8959728628397,"Warung Mba Siti","","",""
250523152310,-6.133317318,106.90019499510527,"Duta Cell","","",""
250524114113,-6.142447888,106.90522380173206,"Toko Series","","",""
250526154719,-6.136720882,106.90305724740028,"Warung Pak Budi","","",""
250527120545,-6.115347406,106.89776860177517,"Toko Mia","","",""
250527144446,-6.153315029,106.91674053668976,"Sari Cell","","",""
250517164342,-6.112631115,106.91732659935951,"Rumah Makan 99","","",""
250528073501,-6.117817992,106.90281417220831,"Ibu Ros","","",""
250530191007,-6.112047717,106.90910864621401,"Warung Murah Hati","","",""
250531113540,-6.137867955,106.91696651279926,"Warung Khalid","halocoko","",""
250531151432,-6.142213875,106.90426122397184,"Warung Mama Beta","","",""
250602092711,-6.104398482,106.92254818975925,"Rumah Ibu Hj. Jumariah/Ibu Juju","","",""
250602104135,-6.104626177,106.92390337586403,"Tok Zaki Cell","","",""
250604094849,-6.111733016,106.94055050611496,"Toko Niken","","",""
250604141055,-6.176989959,106.91118400543928,"Warung Gania","","",""
250605101052,-6.110361528,106.91818222403526,"Warung Endra","","",""
250607102237,-6.1098335,106.9199005,"Warung Mama Rara","","",""
250607105743,-6.109743124,106.91868748515844,"Warung Bapak Parman","","",""
250607114416,-6.110615223,106.9195206463337,"Warung AA Botak","","",""
250607141627,-6.108831351,106.91856745630503,"Warung Biru","","",""
250607161646,-6.110559217,106.91871330142021,"Warung Mama Akbar","","",""
250609093529,-6.11283147,106.89552191644907,"Warung Ibu Diah","","",""
250609101042,-6.120468251,106.91582523286343,"Warung Umi","","",""
250609125022,-6.111869364,106.91523011773825,"Warung Sembako Mama Devi","","",""
250609140918,-6.096446094,106.96306429803371,"Warung Atep","","",""
250609140100,-6.11628517,106.96021512150764,"Warung Noval","","",""
250609160635,-6.111247961,106.9069156050682,"Warung Ibu Maesaroh","","",""
250609163731,-6.118583402,106.91452067345381,"Mama Ahmed","","",""
250610092325,-6.110800578,106.91910356283188,"Toko Mama Arsyla","","",""
250610111810,-6.110578886,106.91939122974873,"Warung Mang Ujang","","",""
250610113146,-6.1111339,106.9198956,"Warung Sari","","",""
